"Batch Code","Result File Name","Transaction ID","Consumer Number","Settlement Ref","UTR Number","Result Status","Exception Code","Variance Amount",Remarks,"Business Date","Business Month"
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8011,CN8511,SETT2011,UTR2011,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8012,CN8512,SETT2012,UTR2012,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8013,CN8513,SETT2013,UTR2013,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8014,CN8514,SETT2014,UTR2014,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8015,CN8515,SETT2015,UTR2015,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8016,CN8516,SETT2016,UTR2016,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8017,CN8517,SETT2017,UTR2017,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8018,CN8518,SETT2018,UTR2018,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8019,CN8519,SETT2019,UTR2019,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8020,CN8520,SETT2020,UTR2020,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8021,CN8521,SETT2021,UTR2021,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8022,CN8522,SETT2022,UTR2022,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8023,CN8523,SETT2023,UTR2023,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8024,CN8524,SETT2024,UTR2024,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8025,CN8525,SETT2025,UTR2025,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8026,CN8526,SETT2026,UTR2026,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN9102,CN9102,SETT9102,UTR9102,EXCEPTION,MISSING_IN_TARGET,0.00,"Matching record not found.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8028,CN8528,SETT2028,UTR2028,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8029,CN8529,SETT2029,UTR2029,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8030,CN8530,SETT2030,UTR2030,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8031,CN8531,SETT2031,UTR2031,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8032,CN8532,SETT2032,UTR2032,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8033,CN8533,SETT2033,UTR2033,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8034,CN8534,SETT2034,UTR2034,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8035,CN8535,SETT2035,UTR2035,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8036,CN8536,SETT2036,UTR2036,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8037,CN8537,SETT2037,UTR2037,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8038,CN8538,SETT2038,UTR2038,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8039,CN8539,SETT2039,UTR2039,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8040,CN8540,SETT2040,UTR2040,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8041,CN8541,SETT2041,UTR2041,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8042,CN8542,SETT2042,UTR2042,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8043,CN8543,SETT2043,UTR2043,EXCEPTION,MISSING_IN_TARGET,0.00,"Matching record not found.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8044,CN8544,SETT2044,UTR2044,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8045,CN8545,SETT2045,UTR2045,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8046,CN8546,SETT2046,UTR2046,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8047,CN8547,SETT2047,UTR2047,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8048,CN8548,SETT2048,UTR2048,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8049,CN8549,SETT2049,UTR2049,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8050,CN8550,SETT2050,UTR2050,MATCHED,,0.00,"All configured rules passed.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN8027,CN8527,SETT2027,UTR2027,EXCEPTION,MISSING_IN_AGENCY,0.00,"Source record missing.",2026-07-10,
BANK_VS_PAYMENT_GATEWAY_DAILY_20260708_192242_8BDCJ,Result_Bank_1_vs_PaymentGateway_1_daily_10072026.csv,TXN9101,CN9101,SETT9101,UTR9101,EXCEPTION,MISSING_IN_AGENCY,0.00,"Source record missing.",2026-07-10,
